product_name,treatment_name,treatment_type,dosage,unit,equipments,medications,target_area,benefits
슈링크 유니버스 이중턱 리미티드 100샷,슈링크 유니버스,device,100.0,샷,슈링크 유니버스,,이중턱,
슈링크 유니버스 울트라 1000샷,슈링크 유니버스 울트라,device,1000.0,샷,슈링크 유니버스,,,
볼뉴머 100샷 + 슈링크 유니버스 울트라 100샷 + 슈링크 쫀쫀밴드 1매,볼뉴머,device,100.0,샷,볼뉴머,,,"리프팅, 탄력 개선"
볼뉴머 100샷 + 슈링크 유니버스 울트라 100샷 + 슈링크 쫀쫀밴드 1매,슈링크 유니버스 울트라,device,100.0,샷,슈링크 유니버스,,,
볼뉴머 100샷 + 슈링크 유니버스 울트라 100샷 + 슈링크 쫀쫀밴드 1매,슈링크 쫀쫀밴드,device,1.0,매,슈링크,,,
볼뉴머 100샷,볼뉴머,device,100.0,샷,볼뉴머,,,탄력 개선
아이 볼뉴머 100샷,아이 볼뉴머,device,100.0,샷,볼뉴머,,눈가,"리프팅, 탄력 개선"
슈링크 유니버스 울트라 300샷 + 슈링크 유니버스 부스터 300샷 + 오로라앰플 3cc,슈링크 유니버스 울트라,device,300.0,샷,슈링크 유니버스,,V라인,"리프팅, 탄력 개선"
슈링크 유니버스 울트라 300샷 + 슈링크 유니버스 부스터 300샷 + 오로라앰플 3cc,슈링크 유니버스 부스터,device,300.0,샷,슈링크 유니버스,,,
슈링크 유니버스 울트라 300샷 + 슈링크 유니버스 부스터 300샷 + 오로라앰플 3cc,오로라앰플,injection,3.0,cc,,오로라앰플,,
슈링크 유니버스 아이리프팅 200샷 + 아이 볼뉴머 100샷 + 필로드 아이 1cc + 국산 눈가 주름보톡스,슈링크 유니버스 아이리프팅,device,200.0,샷,슈링크 유니버스,,눈가,"리프팅, 탄력 개선"
슈링크 유니버스 아이리프팅 200샷 + 아이 볼뉴머 100샷 + 필로드 아이 1cc + 국산 눈가 주름보톡스,아이 볼뉴머,device,100.0,샷,볼뉴머,,눈가,
슈링크 유니버스 아이리프팅 200샷 + 아이 볼뉴머 100샷 + 필로드 아이 1cc + 국산 눈가 주름보톡스,필로드 아이,injection,1.0,cc,,필로드 아이,눈가,
슈링크 유니버스 아이리프팅 200샷 + 아이 볼뉴머 100샷 + 필로드 아이 1cc + 국산 눈가 주름보톡스,국산 눈가 주름보톡스,injection,,회,,국산 눈가 주름보톡스,눈가,주름 개선
티타늄 40KJ + 볼뉴머 300샷 + 얼굴 전체 필로드 4cc,티타늄 리프팅,device,40.0,KJ,티타늄,,얼굴 전체,"탄력, 콜라겐 재생, 피부재생"
티타늄 40KJ + 볼뉴머 300샷 + 얼굴 전체 필로드 4cc,볼뉴머,device,300.0,샷,볼뉴머,,얼굴 전체,
티타늄 40KJ + 볼뉴머 300샷 + 얼굴 전체 필로드 4cc,필로드,injection,4.0,cc,,필로드,얼굴 전체,
[울트라 티타늄] 울트라인 300샷 + 티타늄 리프팅 40KJ,울트라인,device,300.0,샷,울트라인,,,"피부 탄력, 리프팅"
[울트라 티타늄] 울트라인 300샷 + 티타늄 리프팅 40KJ,티타늄 리프팅,device,40.0,KJ,티타늄,,,콜라겐 재생
[앵콜/1차완판] 울트라인 100샷,울트라인,device,100.0,샷,울트라인,,,"지방세포 감소, 윤곽 개선, 탄력, 리프팅"
[눈가전용] 아이 울트라인 100샷 + 필로드 아이 1CC,아이 울트라인,device,100.0,샷,울트라인,,눈가,
[눈가전용] 아이 울트라인 100샷 + 필로드 아이 1CC,필로드 아이,injection,1.0,CC,,필로드 아이,눈가,
